artist,black,female
Joan Jett,FALSE,TRUE
Gloria Gaynor,TRUE,TRUE
Parliament,TRUE,FALSE
Willie Nelson,FALSE,FALSE
Loretta Lynn,FALSE,TRUE
Metallica,FALSE,FALSE
Martha Reeves and the Vandellas,TRUE,TRUE
Gil-Scott Heron,TRUE,FALSE
Neil Young,FALSE,FALSE
The Wailers,TRUE,FALSE
Curtis Mayfield,TRUE,FALSE
Paul Simon,FALSE,FALSE
The Replacements,FALSE,FALSE
Augustus Pablo,TRUE,FALSE
Drake feat. Rihanna,TRUE,FALSE
The Isley Brothers,TRUE,FALSE
The Righteous Brothers,FALSE,FALSE
Nine Inch Nails,FALSE,FALSE
Procol Harum,FALSE,FALSE
Thin Lizzy,FALSE,FALSE
Roberta Flack,TRUE,TRUE
Randy Newman,FALSE,FALSE
Buzzcocks,FALSE,FALSE
Bo Diddley,TRUE,FALSE
Toots and the Maytals,TRUE,FALSE
Clipse,TRUE,FALSE
INXS,FALSE,FALSE
Destiny’s Child,TRUE,TRUE
ABBA,FALSE,TRUE
AC/DC,FALSE,FALSE
The Funky 4 + 1,TRUE,FALSE
Usher feat. Lil Jon and Ludacris,TRUE,FALSE
Phil Collins,FALSE,FALSE
A Tribe Called Quest,TRUE,FALSE
Alice Cooper,FALSE,FALSE
Bikini Kill,FALSE,TRUE
Beach Boys,FALSE,FALSE
Screamin’ Jay Hawkins,TRUE,FALSE
The B-52's,FALSE,TRUE
Bob Seger,FALSE,FALSE
Kraftwerk,FALSE,FALSE
The Police,FALSE,FALSE
Gnarls Barkley,TRUE,FALSE
Liz Phair,FALSE,TRUE
The Doors,FALSE,FALSE
The Eagles,FALSE,FALSE
Isaac Hayes,TRUE,FALSE
The Stooges,FALSE,FALSE
John Coltrane,TRUE,FALSE
The Shangri-Las,FALSE,TRUE
Big Mama Thornton,TRUE,TRUE
Tears for Fears,FALSE,FALSE
2Pac,TRUE,FALSE
Everly Brothers,FALSE,FALSE
Billy Joel,FALSE,FALSE
Iggy Pop,FALSE,FALSE
Rilo Kiley,FALSE,TRUE
Mary J. Blige,TRUE,TRUE
Red Hot Chili Peppers,FALSE,FALSE
Bad Bunny,FALSE,FALSE
The Notorious B.I.G.,TRUE,FALSE
The Marvelettes,TRUE,TRUE
Rihanna feat. Jay-Z,TRUE,TRUE
The Grateful Dead,FALSE,FALSE
Marshall Jefferson,TRUE,FALSE
Hall and Oates,FALSE,FALSE
Cher,FALSE,TRUE
Black Sabbath,FALSE,FALSE
The Monkees,FALSE,FALSE
The Doobie Brothers,FALSE,FALSE
Carole King,FALSE,TRUE
BTS,FALSE,FALSE
Roxy Music,FALSE,FALSE
The Zombies,FALSE,FALSE
John Prine,FALSE,FALSE
Jorge Ben,TRUE,FALSE
Ice Cube,TRUE,FALSE
Eurythmics,FALSE,FALSE
Thelma Houston,TRUE,TRUE
Cheap Trick,FALSE,FALSE
Fugees,TRUE,FALSE
Jimmy Cliff,TRUE,FALSE
Kacey Musgraves,FALSE,TRUE
The Crystals,TRUE,TRUE
Frank Ocean,TRUE,FALSE
Soundgarden,FALSE,FALSE
The Cars,FALSE,FALSE
Bonnie Raitt,FALSE,TRUE
Drake,TRUE,FALSE
William DeVaughn,TRUE,FALSE
The Drifters,TRUE,FALSE
Merle Haggard,FALSE,FALSE
The Killers,FALSE,FALSE
D’Angelo,TRUE,FALSE
Fountains of Wayne,FALSE,FALSE
The Slits,FALSE,TRUE
Fiona Apple,FALSE,TRUE
Childish Gambino,TRUE,FALSE
"Cardi B, J Balvin, and Bad Bunny",TRUE,TRUE
Diana Ross,TRUE,TRUE
New York Dolls,FALSE,FALSE
DMX,TRUE,FALSE
Pretenders,FALSE,FALSE
Eric Church,FALSE,FALSE
Coldplay,FALSE,FALSE
Jeff Buckley,FALSE,FALSE
Afrika Bambaataa and the Soulsonic Force,TRUE,FALSE
Elvis Costello,FALSE,FALSE
Duran Duran,FALSE,FALSE
Sylvester,TRUE,FALSE
Rufus and Chaka Khan,FALSE,FALSE
Kiss,FALSE,FALSE
Selena,FALSE,TRUE
Run-DMC,TRUE,FALSE
Lynyrd Skynyrd,FALSE,FALSE
Cat Stevens/Yusuf,TRUE,FALSE
Foo Fighters,FALSE,FALSE
Allman Brothers Band,FALSE,FALSE
Wilco,FALSE,FALSE
Neneh Cherry,TRUE,TRUE
Them,FALSE,FALSE
Depeche Mode,FALSE,FALSE
Pearl Jam,FALSE,FALSE
Mark Ronson feat. Bruno Mars,FALSE,FALSE
Booker T. and the MGs,TRUE,FALSE
Mariah Carey,FALSE,TRUE
The Mamas and the Papas,FALSE,TRUE
"Craig Mack feat. Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage",TRUE,FALSE
Blackstreet feat. Dr. Dre and Queen Pen,TRUE,FALSE
Muddy Waters,TRUE,FALSE
Nicki Minaj,TRUE,TRUE
Sugar Hill Gang,TRUE,FALSE
Harry Styles,FALSE,FALSE
Queen and David Bowie,FALSE,FALSE
Pete Rock and CL Smooth,TRUE,FALSE
Eddie Cochran,FALSE,FALSE
Pet Shop Boys,FALSE,FALSE
Rush,FALSE,FALSE
Carly Rae Jepsen,FALSE,TRUE
Lucinda Williams,FALSE,TRUE
Megan Thee Stallion feat. Beyoncé,TRUE,TRUE
Celia Cruz,TRUE,TRUE
Alicia Keys,TRUE,TRUE
Miranda Lambert,FALSE,TRUE
Motörhead,FALSE,FALSE
Fall Out Boy,FALSE,FALSE
50 Cent,TRUE,FALSE
T. Rex,FALSE,FALSE
Erykah Badu,TRUE,TRUE
Blue Öyster Cult,FALSE,FALSE
Migos feat. Lil Uzi Vert,TRUE,FALSE
Toto,FALSE,FALSE
Missy Elliot,TRUE,TRUE
Sister Nancy,TRUE,TRUE
Jefferson Airplane,FALSE,FALSE
Lana Del Rey,FALSE,TRUE
Bon Jovi,FALSE,FALSE
Beck,FALSE,FALSE
Sade,TRUE,TRUE
Steel Pulse,TRUE,FALSE
Roy Orbison,FALSE,FALSE
Van Morrison,FALSE,FALSE
John Lee Hooker,TRUE,FALSE
Daft Punk feat. Pharrell Williams,FALSE,FALSE
Luther Vandross,TRUE,FALSE
Mazzy Star,FALSE,TRUE
Dixie Chicks,FALSE,TRUE
Gladys Knight and the Pips,TRUE,TRUE
The Animals,FALSE,FALSE
Peter Gabriel,FALSE,FALSE
Tammy Wynette,FALSE,TRUE
Janet Jackson,TRUE,TRUE
Kris Kristofferson,FALSE,FALSE
The Go-Gos,FALSE,TRUE
Juvenile feat. Lil Wayne and Mannie Fresh,TRUE,FALSE
Santana,FALSE,FALSE
Biz Markie,TRUE,FALSE
Robert Johnson,TRUE,FALSE
Lady Gaga,FALSE,TRUE
Weezer,FALSE,FALSE
Azealia Banks,TRUE,TRUE
Lil Wayne,TRUE,FALSE
Solange,TRUE,TRUE
The Weeknd,TRUE,FALSE
The Breeders,FALSE,TRUE
Lil Nas X,TRUE,FALSE
Miles Davis,TRUE,FALSE
The Pixies,FALSE,FALSE
Cyndi Lauper,FALSE,TRUE
Carly Simon,FALSE,TRUE
Harry Nilsson,FALSE,FALSE
Lizzo,TRUE,TRUE
Townes Van Zandt,FALSE,FALSE
Kanye West,TRUE,FALSE
Bob Marley,TRUE,FALSE
Percy Sledge,TRUE,FALSE
The Sex Pistols,FALSE,FALSE
Buffalo Springfield,FALSE,FALSE
Cream,FALSE,FALSE
Carl Perkins,FALSE,FALSE
Gene Vincent and His Blue Caps,FALSE,FALSE
Buddy Holly and the Crickets,FALSE,FALSE
Beyonce feat. Jay-Z,TRUE,TRUE
Big Joe Turner,TRUE,FALSE
Steppenwolf,FALSE,FALSE
The Everly Brothers,FALSE,FALSE
James Brown and His Famous Flames,TRUE,FALSE
Janis Joplin,FALSE,TRUE
The Penguins,TRUE,FALSE
Bill Haley and His Comets,FALSE,FALSE
Sinead O'Connor,FALSE,TRUE
Abba,FALSE,TRUE
The Bobby Fuller Four,FALSE,FALSE
OutKast,TRUE,FALSE
Booker T. and the MG's,TRUE,FALSE
B.B. King,TRUE,FALSE
Guns n' Roses,FALSE,FALSE
The Chantels,TRUE,TRUE
? and the Mysterians,FALSE,FALSE
The Lovin' Spoonful,FALSE,FALSE
Howlin' Wolf,TRUE,FALSE
The Left Banke,FALSE,FALSE
Afrika Bambaataa and the Soul Sonic Force,TRUE,FALSE
Dion,FALSE,FALSE
The Spencer Davis Group,FALSE,FALSE
Jackie Wilson,TRUE,FALSE
Sugarhill Gang,TRUE,FALSE
Bobby Darin,FALSE,FALSE
The Troggs,FALSE,FALSE
The Dells,TRUE,FALSE
Smokey Robinson and The Miracles,TRUE,FALSE
Archie Bell and The Drells,TRUE,FALSE
"The Staple Singers, I'll Take You There",TRUE,TRUE
The Staple Singers,TRUE,TRUE
The Dixie Cups,TRUE,TRUE
Elvis Costello and the Attractions,FALSE,FALSE
Barrett Strong,TRUE,FALSE
Daft Punk,FALSE,FALSE
The Jam,FALSE,FALSE
Frankie Lymon and The Teenagers,TRUE,FALSE
Screamin' Jay Hawkins,TRUE,FALSE
Franz Ferdinand,FALSE,FALSE
Patti Smith Group,FALSE,TRUE
The Young Rascals,FALSE,FALSE
Jerry Butler and The Impressions,TRUE,FALSE
"Earth, Wind and Fire",TRUE,FALSE
Norman Greenbaum,FALSE,FALSE
Paul McCartney,FALSE,FALSE
Lavern Baker,TRUE,TRUE
Big Brother and the Holding Company,FALSE,TRUE
Ritchie Valens,FALSE,FALSE
Little Eva,TRUE,TRUE
The Platters,TRUE,FALSE
Eric Clapton,FALSE,FALSE
The Box Tops,FALSE,FALSE
Aaron Neville,TRUE,FALSE
The Verve,FALSE,FALSE
The Allman Brothers Band,FALSE,FALSE
"Crosby, Stills, Nash and Young",FALSE,FALSE
The Five Stairsteps,TRUE,FALSE
Rihanna Featuring Jay-Z,TRUE,TRUE
Carpenters,FALSE,TRUE
Pixies,FALSE,FALSE
The Coasters,TRUE,FALSE
"Crosby, Stills and Nash",FALSE,FALSE
Dr. Dre,TRUE,FALSE
Rolling Stones,FALSE,FALSE
Deep Purple,FALSE,FALSE
Solomon Burke,TRUE,FALSE
Love,TRUE,FALSE
Salt 'n Pepa,TRUE,TRUE
John Cougar Mellencamp,FALSE,FALSE
The Dell-Vikings,TRUE,FALSE
Sonny and Cher,FALSE,TRUE
Chubby Checker,TRUE,FALSE
George Harrison,FALSE,FALSE
Sam and Dave,TRUE,FALSE
Jay-Z Featuring UGK,TRUE,FALSE
Del Shannon,FALSE,FALSE
Foreigner,FALSE,FALSE
Justin Timberlake,FALSE,FALSE
LaBelle,TRUE,TRUE
Joan Jett and the Blackhearts,FALSE,TRUE
MGMT,FALSE,FALSE
R. Kelly,TRUE,FALSE
Jackson Browne,,
